```
$ ./bin/bench_kernels
2023-01-04T07:59:56+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.69, 0.60, 0.70
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
IsingXX<float>/AVX512/8                            8699 ns         8697 ns        81014
IsingXX<float>/AVX512/10                          13637 ns        13637 ns        50629
IsingXX<float>/AVX512/12                          36985 ns        36984 ns        19680
IsingXX<float>/AVX512/14                         148727 ns       148716 ns         4685
IsingXX<float>/AVX512/16                         581876 ns       581758 ns         1205
IsingXX<float>/AVX512/18                        4138227 ns      4137870 ns          171
IsingXX<float>/AVX512/20                       17998254 ns     17996549 ns           39
IsingXX<float>/AVX512/22                      121352983 ns    121339055 ns            6
IsingXX<float>/AVX512/24                      556610962 ns    556507019 ns            1
PhaseShift<float>/AVX512/6                         4857 ns         4857 ns       143029
PhaseShift<float>/AVX512/8                         9049 ns         9048 ns        77152
PhaseShift<float>/AVX512/10                       13643 ns        13642 ns        51687
PhaseShift<float>/AVX512/12                       30960 ns        30958 ns        21714
PhaseShift<float>/AVX512/14                      115594 ns       115581 ns         6368
PhaseShift<float>/AVX512/16                      408788 ns       408788 ns         1713
PhaseShift<float>/AVX512/18                     2585451 ns      2585374 ns          294
PhaseShift<float>/AVX512/20                    12770515 ns     12770386 ns           61
PhaseShift<float>/AVX512/22                    80723691 ns     80713164 ns            8
PhaseShift<float>/AVX512/24                   399026789 ns    398957428 ns            2
SingleQubitOp<float>/AVX512/6/1                    5936 ns         5934 ns       115635
SingleQubitOp<float>/AVX512/8/1                    8190 ns         8189 ns        84371
SingleQubitOp<float>/AVX512/10/1                  17364 ns        17363 ns        40126
SingleQubitOp<float>/AVX512/12/1                  55882 ns        55875 ns        12502
SingleQubitOp<float>/AVX512/14/1                 206854 ns       206854 ns         3339
SingleQubitOp<float>/AVX512/16/1                 820407 ns       820270 ns          858
SingleQubitOp<float>/AVX512/18/1                4419726 ns      4419573 ns          157
SingleQubitOp<float>/AVX512/20/1               19194402 ns     19189071 ns           37
SingleQubitOp<float>/AVX512/22/1              131073432 ns    131050164 ns            5
SingleQubitOp<float>/AVX512/24/1              567619799 ns    567584015 ns            1
GeneratorRZ<float>/AVX2/6                          4103 ns         4103 ns       171629
GeneratorRZ<float>/AVX2/8                          5255 ns         5255 ns       134703
GeneratorRZ<float>/AVX2/10                         8777 ns         8776 ns        79723
GeneratorRZ<float>/AVX2/12                        23112 ns        23110 ns        30929
GeneratorRZ<float>/AVX2/14                        81029 ns        81018 ns         8433
GeneratorRZ<float>/AVX2/16                       374415 ns       374400 ns         1595
GeneratorRZ<float>/AVX2/18                      2062619 ns      2062492 ns          313
GeneratorRZ<float>/AVX2/20                      9948338 ns      9947936 ns           70
GeneratorRZ<float>/AVX2/22                     83174984 ns     83162989 ns            8
GeneratorRZ<float>/AVX2/24                    375071078 ns    375043311 ns            2
GeneratorRY<float>/AVX2/6                          4049 ns         4049 ns       172393
GeneratorRY<float>/AVX2/8                          5484 ns         5483 ns       126171
GeneratorRY<float>/AVX2/10                        10386 ns        10384 ns        67246
GeneratorRY<float>/AVX2/12                        30553 ns        30552 ns        23032
GeneratorRY<float>/AVX2/14                       114843 ns       114831 ns         6046
GeneratorRY<float>/AVX2/16                       446922 ns       446871 ns         1524
GeneratorRY<float>/AVX2/18                      3247752 ns      3247481 ns          215
GeneratorRY<float>/AVX2/20                     14220334 ns     14219581 ns           48
GeneratorRY<float>/AVX2/22                    107442610 ns    107437750 ns            6
GeneratorRY<float>/AVX2/24                    498659511 ns    498415216 ns            2
GeneratorRX<float>/AVX2/6                          3724 ns         3724 ns       189984
GeneratorRX<float>/AVX2/8                          4835 ns         4834 ns       143653
GeneratorRX<float>/AVX2/10                         9360 ns         9359 ns        76007
GeneratorRX<float>/AVX2/12                        27844 ns        27840 ns        25283
GeneratorRX<float>/AVX2/14                        98538 ns        98521 ns         7099
GeneratorRX<float>/AVX2/16                       387248 ns       387164 ns         1814
GeneratorRX<float>/AVX2/18                      3156236 ns      3155840 ns          222
GeneratorRX<float>/AVX2/20                     14096877 ns     14095661 ns           49
GeneratorRX<float>/AVX2/22                    107783891 ns    107776340 ns            6
GeneratorRX<float>/AVX2/24                    504493671 ns    504415988 ns            1
PauliZ<float>/AVX2/6                               4166 ns         4165 ns       166807
PauliZ<float>/AVX2/8                               5282 ns         5281 ns       134374
PauliZ<float>/AVX2/10                              8802 ns         8801 ns        81169
PauliZ<float>/AVX2/12                             22910 ns        22907 ns        30533
PauliZ<float>/AVX2/14                             79765 ns        79757 ns         8721
PauliZ<float>/AVX2/16                            316349 ns       316304 ns         2251
PauliZ<float>/AVX2/18                           2020392 ns      2020138 ns          325
PauliZ<float>/AVX2/20                           9563180 ns      9562123 ns           73
PauliZ<float>/AVX2/22                          78572715 ns     78375448 ns            8
PauliZ<float>/AVX2/24                         370385087 ns    370356003 ns            2
PauliY<float>/AVX2/6                               4307 ns         4306 ns       159105
PauliY<float>/AVX2/8                               5706 ns         5706 ns       121437
PauliY<float>/AVX2/10                             10742 ns        10741 ns        65374
PauliY<float>/AVX2/12                             30527 ns        30525 ns        22625
PauliY<float>/AVX2/14                            116718 ns       116700 ns         6030
PauliY<float>/AVX2/16                            454766 ns       454689 ns         1550
PauliY<float>/AVX2/18                           3263709 ns      3263215 ns          215
PauliY<float>/AVX2/20                          14235123 ns     14232669 ns           49
PauliY<float>/AVX2/22                         105088210 ns    105072499 ns            6
PauliY<float>/AVX2/24                         502264809 ns    502166200 ns            1
PauliX<float>/AVX2/6                               3804 ns         3804 ns       181053
PauliX<float>/AVX2/8                               4906 ns         4905 ns       144556
PauliX<float>/AVX2/10                              9118 ns         9118 ns        77661
PauliX<float>/AVX2/12                             25602 ns        25599 ns        27662
PauliX<float>/AVX2/14                             88622 ns        88619 ns         7683
PauliX<float>/AVX2/16                            353939 ns       353873 ns         1984
PauliX<float>/AVX2/18                           3175914 ns      3175645 ns          224
PauliX<float>/AVX2/20                          14014985 ns     14011129 ns           50
PauliX<float>/AVX2/22                         106341690 ns    106322280 ns            6
PauliX<float>/AVX2/24                         499158404 ns    499074502 ns            2
PhaseShift<float>/AVX2/6                           5303 ns         5302 ns       132707
PhaseShift<float>/AVX2/8                           6612 ns         6611 ns       106561
PhaseShift<float>/AVX2/10                         11043 ns        11042 ns        63511
PhaseShift<float>/AVX2/12                         28108 ns        28105 ns        24549
PhaseShift<float>/AVX2/14                        104521 ns       104509 ns         6808
PhaseShift<float>/AVX2/16                        402532 ns       402463 ns         1733
PhaseShift<float>/AVX2/18                       2215270 ns      2215053 ns          352
PhaseShift<float>/AVX2/20                      10618886 ns     10616425 ns           70
PhaseShift<float>/AVX2/22                      82465883 ns     82454490 ns            8
PhaseShift<float>/AVX2/24                     377846789 ns    377788173 ns            2
S<float>/AVX2/6                                    4200 ns         4199 ns       166502
S<float>/AVX2/8                                    5270 ns         5269 ns       135178
S<float>/AVX2/10                                   9216 ns         9215 ns        77011
S<float>/AVX2/12                                  23735 ns        23735 ns        28724
S<float>/AVX2/14                                  85182 ns        85173 ns         8203
S<float>/AVX2/16                                 330845 ns       330806 ns         2149
S<float>/AVX2/18                                1919486 ns      1919088 ns          344
S<float>/AVX2/20                                9311572 ns      9311013 ns           71
S<float>/AVX2/22                               84954346 ns     84936391 ns            8
S<float>/AVX2/24                              360871052 ns    360826313 ns            2
IsingYY<float>/AVX2/6                              4952 ns         4951 ns       140094
IsingYY<float>/AVX2/8                              6520 ns         6519 ns       107889
IsingYY<float>/AVX2/10                            12304 ns        12304 ns        57283
IsingYY<float>/AVX2/12                            36685 ns        36679 ns        18815
IsingYY<float>/AVX2/14                           141636 ns       141606 ns         5075
IsingYY<float>/AVX2/16                           544290 ns       544216 ns         1262
IsingYY<float>/AVX2/18                          3308411 ns      3307971 ns          210
IsingYY<float>/AVX2/20                         14624957 ns     14621351 ns           48
IsingYY<float>/AVX2/22                        108062012 ns    108053204 ns            6
IsingYY<float>/AVX2/24                        501812063 ns    501735527 ns            1
Hadamard<float>/AVX2/6                             4331 ns         4330 ns       162630
Hadamard<float>/AVX2/8                             6055 ns         6055 ns       102187
Hadamard<float>/AVX2/10                           33512 ns        33507 ns        57695
Hadamard<float>/AVX2/12                           47059 ns        47055 ns        22984
Hadamard<float>/AVX2/14                          113796 ns       113784 ns         4957
Hadamard<float>/AVX2/16                         1382379 ns      1382186 ns          667
Hadamard<float>/AVX2/18                         3696838 ns      3696589 ns          171
Hadamard<float>/AVX2/20                        20133029 ns     20129543 ns           41
Hadamard<float>/AVX2/22                       115513001 ns    115505247 ns            6
