```
$ ./benchmark_all.sh
2023-01-01T19:38:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.64, 1.64, 1.47
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PhaseShift<float>/AVX2/22                      86142123 ns     86142323 ns            8
PhaseShift<float>/AVX2/24                     378788252 ns    378788878 ns            2
S<float>/AVX2/6                                    4226 ns         4226 ns       165541
S<float>/AVX2/8                                    5560 ns         5560 ns       126540
S<float>/AVX2/10                                   9479 ns         9479 ns        74544
S<float>/AVX2/12                                  24459 ns        24459 ns        27888
S<float>/AVX2/14                                  89265 ns        89263 ns         7799
S<float>/AVX2/16                                 351725 ns       351720 ns         2035
S<float>/AVX2/18                                2244829 ns      2244799 ns          332
S<float>/AVX2/20                               10064799 ns     10064606 ns           67
S<float>/AVX2/22                               77408386 ns     77408562 ns            8
S<float>/AVX2/24                              353733006 ns    353729713 ns            2
IsingYY<float>/AVX2/6                              4962 ns         4962 ns       142671
IsingYY<float>/AVX2/8                              6526 ns         6526 ns       104858
IsingYY<float>/AVX2/10                            12410 ns        12410 ns        55758
IsingYY<float>/AVX2/12                            37302 ns        37302 ns        18655
IsingYY<float>/AVX2/14                           142125 ns       142121 ns         4935
IsingYY<float>/AVX2/16                           566211 ns       566212 ns         1218
IsingYY<float>/AVX2/18                          3351282 ns      3351102 ns          207
IsingYY<float>/AVX2/20                         14937527 ns     14936532 ns           47
IsingYY<float>/AVX2/22                        113576614 ns    113573370 ns            6
IsingYY<float>/AVX2/24                        516218644 ns    516220113 ns            1
Hadamard<float>/AVX2/6                             5687 ns         5687 ns       138376
