```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-02T21:25:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.89, 0.80, 0.63
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Hadamard<float>/AVX512/20                      26294937 ns     26291131 ns           41
Hadamard<float>/AVX512/22                     113138963 ns    113116136 ns            6
Hadamard<float>/AVX512/24                     509881193 ns    509883173 ns            1
SingleQubitOp<float>/AVX512/6/1                    6585 ns         6583 ns       106165
SingleQubitOp<float>/AVX512/8/1                    9334 ns         9333 ns        71258
SingleQubitOp<float>/AVX512/10/1                  19060 ns        19059 ns        36191
SingleQubitOp<float>/AVX512/12/1                  59258 ns        59248 ns        11984
SingleQubitOp<float>/AVX512/14/1                 214785 ns       214755 ns         3222
SingleQubitOp<float>/AVX512/16/1                 850362 ns       850182 ns          843
SingleQubitOp<float>/AVX512/18/1                4448150 ns      4447096 ns          157
SingleQubitOp<float>/AVX512/20/1               18770808 ns     18765317 ns           38
SingleQubitOp<float>/AVX512/22/1              117275101 ns    117218429 ns            6
SingleQubitOp<float>/AVX512/24/1              526568079 ns    526424446 ns            1
GeneratorRZ<float>/AVX2/6                          4763 ns         4762 ns       146799
GeneratorRZ<float>/AVX2/8                          6209 ns         6208 ns       110438
GeneratorRZ<float>/AVX2/10                        11379 ns        11378 ns        63268
GeneratorRZ<float>/AVX2/12                        32836 ns        32832 ns        20680
GeneratorRZ<float>/AVX2/14                       112634 ns       112604 ns         6110
GeneratorRZ<float>/AVX2/16                       438122 ns       438063 ns         1587
GeneratorRZ<float>/AVX2/18                      2457564 ns      2456989 ns          265
GeneratorRZ<float>/AVX2/20                     11263662 ns     11261912 ns           63
GeneratorRZ<float>/AVX2/22                     88669558 ns     88660073 ns            7
GeneratorRZ<float>/AVX2/24                    374467766 ns    374406193 ns            2
GeneratorRY<float>/AVX2/6                          4810 ns         4809 ns       146244
GeneratorRY<float>/AVX2/8                          6656 ns         6656 ns       104877
GeneratorRY<float>/AVX2/10                        13662 ns        13661 ns        52562
GeneratorRY<float>/AVX2/12                        41667 ns        41664 ns        17160
GeneratorRY<float>/AVX2/14                       150452 ns       150431 ns         4639
GeneratorRY<float>/AVX2/16                       590287 ns       590180 ns         1176
GeneratorRY<float>/AVX2/18                      3417975 ns      3417507 ns          203
GeneratorRY<float>/AVX2/20                     14658178 ns     14654538 ns           48
GeneratorRY<float>/AVX2/22                    107095419 ns    107080436 ns            6
GeneratorRY<float>/AVX2/24                    507736216 ns    507640597 ns            2
GeneratorRX<float>/AVX2/6                          4384 ns         4383 ns       161836
GeneratorRX<float>/AVX2/8                          5513 ns         5513 ns       126052
GeneratorRX<float>/AVX2/10                        10998 ns        10998 ns        65804
GeneratorRX<float>/AVX2/12                        32721 ns        32720 ns        21271
