```
$ ./bin/bench_kernels 
2023-01-11T22:23:50+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 6.83, 6.42, 6.08
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Hadamard<float>/AVX512/8                           6324 ns         6324 ns       109098
Hadamard<float>/AVX512/10                         12686 ns        12685 ns        61535
Hadamard<float>/AVX512/12                         31873 ns        31871 ns        20559
Hadamard<float>/AVX512/14                        142064 ns       142064 ns         3761
Hadamard<float>/AVX512/16                        566186 ns       566155 ns         1157
Hadamard<float>/AVX512/18                       4053535 ns      4052987 ns          173
Hadamard<float>/AVX512/20                      17951942 ns     17951315 ns           41
Hadamard<float>/AVX512/22                     117114081 ns    117106786 ns            6
Hadamard<float>/AVX512/24                     525550636 ns    525552195 ns            1
SingleQubitOp<float>/AVX512/6/1                    4568 ns         4568 ns       155659
SingleQubitOp<float>/AVX512/8/1                    6973 ns         6973 ns        99692
SingleQubitOp<float>/AVX512/10/1                  16370 ns        16370 ns        41237
SingleQubitOp<float>/AVX512/12/1                  54215 ns        54213 ns        12722
SingleQubitOp<float>/AVX512/14/1                 208955 ns       208955 ns         3353
SingleQubitOp<float>/AVX512/16/1                 806517 ns       806491 ns          827
SingleQubitOp<float>/AVX512/18/1                4401345 ns      4401357 ns          161
SingleQubitOp<float>/AVX512/20/1               18609460 ns     18607772 ns           38
SingleQubitOp<float>/AVX512/22/1              120440041 ns    120428972 ns            6
SingleQubitOp<float>/AVX512/24/1              561039273 ns    561016316 ns            1
GeneratorRZ<float>/AVX2/6                          3461 ns         3461 ns       201952
GeneratorRZ<float>/AVX2/8                          4605 ns         4605 ns       152971
GeneratorRZ<float>/AVX2/10                         8670 ns         8670 ns        81409
GeneratorRZ<float>/AVX2/12                        24969 ns        24968 ns        28983
GeneratorRZ<float>/AVX2/14                       139018 ns       139006 ns         4975
GeneratorRZ<float>/AVX2/16                       541710 ns       541671 ns         1000
GeneratorRZ<float>/AVX2/18                      2608667 ns      2608594 ns          298
GeneratorRZ<float>/AVX2/20                     10487257 ns     10487282 ns           64
GeneratorRZ<float>/AVX2/22                     89486107 ns     89481275 ns            9
GeneratorRZ<float>/AVX2/24                    384306352 ns    384283360 ns            2
GeneratorRY<float>/AVX2/6                          3579 ns         3579 ns       199487
GeneratorRY<float>/AVX2/8                          4967 ns         4967 ns       141619
GeneratorRY<float>/AVX2/10                        10631 ns        10631 ns        67572
GeneratorRY<float>/AVX2/12                        33334 ns        33334 ns        20951
GeneratorRY<float>/AVX2/14                       140863 ns       140852 ns         3579
GeneratorRY<float>/AVX2/16                       467774 ns       467765 ns         1490
GeneratorRY<float>/AVX2/18                      3299109 ns      3299009 ns          213
GeneratorRY<float>/AVX2/20                     14201203 ns     14201231 ns           49
GeneratorRY<float>/AVX2/22                    104420939 ns    104417477 ns            6
GeneratorRY<float>/AVX2/24                    492845475 ns    492840161 ns            2
GeneratorRX<float>/AVX2/6                          3266 ns         3266 ns       220609
GeneratorRX<float>/AVX2/8                          4166 ns         4166 ns       166496
GeneratorRX<float>/AVX2/10                         8629 ns         8629 ns        81937
