```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-04T03:59:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.70, 0.56, 0.55
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
GeneratorRY<float>/AVX2/12                        40337 ns        40334 ns        17521
GeneratorRY<float>/AVX2/14                       139664 ns       139654 ns         4968
GeneratorRY<float>/AVX2/16                       546022 ns       545974 ns         1233
GeneratorRY<float>/AVX2/18                      3289588 ns      3289189 ns          213
GeneratorRY<float>/AVX2/20                     14016019 ns     14013390 ns           48
GeneratorRY<float>/AVX2/22                    104428570 ns    104410238 ns            6
GeneratorRY<float>/AVX2/24                    491815355 ns    491736823 ns            2
GeneratorRX<float>/AVX2/6                          4363 ns         4363 ns       160700
GeneratorRX<float>/AVX2/8                          5500 ns         5499 ns       124336
GeneratorRX<float>/AVX2/10                        11097 ns        11096 ns        63569
GeneratorRX<float>/AVX2/12                        31342 ns        31339 ns        21448
GeneratorRX<float>/AVX2/14                       114248 ns       114232 ns         6059
GeneratorRX<float>/AVX2/16                       462681 ns       462599 ns         1553
GeneratorRX<float>/AVX2/18                      3189885 ns      3189481 ns          219
GeneratorRX<float>/AVX2/20                     13775703 ns     13773544 ns           49
GeneratorRX<float>/AVX2/22                    105707033 ns    105697424 ns            7
GeneratorRX<float>/AVX2/24                    478908642 ns    478839503 ns            2
RX<float>/AVX2/6                                   5439 ns         5438 ns       131414
RX<float>/AVX2/8                                   6983 ns         6982 ns        98423
RX<float>/AVX2/10                                 14005 ns        14004 ns        50655
RX<float>/AVX2/12                                 43054 ns        43050 ns        15157
RX<float>/AVX2/14                                255340 ns       255320 ns         2789
RX<float>/AVX2/16                                980072 ns       980034 ns          726
RX<float>/AVX2/18                               4125384 ns      4124960 ns          174
RX<float>/AVX2/20                              14528639 ns     14527626 ns           47
RX<float>/AVX2/22                             108082296 ns    108052693 ns            6
RX<float>/AVX2/24                             493963549 ns    493904350 ns            2
RY<float>/AVX2/6                                   5340 ns         5339 ns       133440
RY<float>/AVX2/8                                   7043 ns         7042 ns        96083
RY<float>/AVX2/10                                 14526 ns        14524 ns        48474
RY<float>/AVX2/12                                 45254 ns        45251 ns        15706
RY<float>/AVX2/14                                211168 ns       211141 ns         2700
RY<float>/AVX2/16                                644624 ns       644544 ns         1104
RY<float>/AVX2/18                               3334429 ns      3333984 ns          209
RY<float>/AVX2/20                              14444259 ns     14441446 ns           47
RY<float>/AVX2/22                             105519104 ns    105503378 ns            6
RY<float>/AVX2/24                             508410491 ns    508352069 ns            1
RZ<float>/AVX2/6                                   5415 ns         5414 ns       132104
RZ<float>/AVX2/8                                   7224 ns         7223 ns        98336
RZ<float>/AVX2/10                                 14259 ns        14259 ns        49233
RZ<float>/AVX2/12                                 43939 ns        43939 ns        15785
RZ<float>/AVX2/14                                166075 ns       166075 ns         4198
RZ<float>/AVX2/16                                615063 ns       615005 ns         1081
RZ<float>/AVX2/18                               3395887 ns      3395701 ns          204
RZ<float>/AVX2/20                              14612384 ns     14610947 ns           46
RZ<float>/AVX2/22                             108982189 ns    108968560 ns            6
RZ<float>/AVX2/24                             495452016 ns    495410480 ns            2
Rot<float>/AVX2/6                                  8833 ns         8833 ns        77176
Rot<float>/AVX2/8                                 11379 ns        11378 ns        61846
Rot<float>/AVX2/10                                21036 ns        21035 ns        33806
Rot<float>/AVX2/12                                59807 ns        59802 ns        12155
Rot<float>/AVX2/14                               218780 ns       218749 ns         3210
Rot<float>/AVX2/16                               818415 ns       818324 ns          864
Rot<float>/AVX2/18                              3792483 ns      3792149 ns          182
Rot<float>/AVX2/20                             16218370 ns     16215685 ns           42
Rot<float>/AVX2/22                            112648563 ns    112622788 ns            6
Rot<float>/AVX2/24                            525841394 ns    525782108 ns            1
IsingXX<float>/AVX2/6                              5334 ns         5333 ns       130974
IsingXX<float>/AVX2/8                              7245 ns         7245 ns        96154
IsingXX<float>/AVX2/10                            14608 ns        14607 ns        45773
IsingXX<float>/AVX2/12                            44495 ns        44491 ns        15645
IsingXX<float>/AVX2/14                           166799 ns       166784 ns         4163
IsingXX<float>/AVX2/16                           646853 ns       646798 ns         1068
IsingXX<float>/AVX2/18                          3406198 ns      3406054 ns          204
IsingXX<float>/AVX2/20                         14672518 ns     14671823 ns           46
IsingXX<float>/AVX2/22                        108393069 ns    108376279 ns            6
IsingXX<float>/AVX2/24                        493660927 ns    493630049 ns            2
PauliZ<float>/AVX2/6                               4826 ns         4826 ns       144474
PauliZ<float>/AVX2/8                               6005 ns         6005 ns       112655
PauliZ<float>/AVX2/10                             11119 ns        11118 ns        63790
PauliZ<float>/AVX2/12                             31893 ns        31890 ns        22093
PauliZ<float>/AVX2/14                            175997 ns       175971 ns         6375
PauliZ<float>/AVX2/16                            429921 ns       429860 ns         1382
PauliZ<float>/AVX2/18                           2433760 ns      2433618 ns          303
PauliZ<float>/AVX2/20                          11417659 ns     11416144 ns           65
PauliZ<float>/AVX2/22                          82843374 ns     82837904 ns            8
PauliZ<float>/AVX2/24                         353656304 ns    352809321 ns            2
IsingYY<float>/AVX2/6                              5747 ns         5745 ns       121941
IsingYY<float>/AVX2/8                              7698 ns         7698 ns        90010
IsingYY<float>/AVX2/10                            15915 ns        15914 ns        45573
IsingYY<float>/AVX2/12                            46107 ns        46106 ns        15249
IsingYY<float>/AVX2/14                           171190 ns       171166 ns         4011
IsingYY<float>/AVX2/16                           669664 ns       669527 ns         1046
IsingYY<float>/AVX2/18                          3513505 ns      3513478 ns          203
IsingYY<float>/AVX2/20                         15200637 ns     15199413 ns           44
IsingYY<float>/AVX2/22                        105670424 ns    105655663 ns            6
IsingYY<float>/AVX2/24                        506051436 ns    505965964 ns            1
S<float>/AVX2/6                                    4735 ns         4734 ns       147630
S<float>/AVX2/8                                    6155 ns         6155 ns       113277
S<float>/AVX2/10                                  11212 ns        11211 ns        62569
S<float>/AVX2/12                                  31710 ns        31710 ns        22156
S<float>/AVX2/14                                 113509 ns       113503 ns         6194
S<float>/AVX2/16                                 444205 ns       444128 ns         1619
S<float>/AVX2/18                                2519359 ns      2518984 ns          292
S<float>/AVX2/20                               10710758 ns     10708972 ns           58
S<float>/AVX2/22                               88037155 ns     87984786 ns            8
S<float>/AVX2/24                              379546237 ns    379515685 ns            2
IsingZZ<float>/AVX2/6                              5700 ns         5699 ns       123598
IsingZZ<float>/AVX2/8                              7564 ns         7563 ns        91229
IsingZZ<float>/AVX2/10                            15129 ns        15128 ns        44852
IsingZZ<float>/AVX2/12                            45296 ns        45295 ns        14780
IsingZZ<float>/AVX2/14                           214896 ns       214879 ns         4199
IsingZZ<float>/AVX2/16                           661216 ns       661181 ns         1021
IsingZZ<float>/AVX2/18                          3530658 ns      3530049 ns          203
IsingZZ<float>/AVX2/20                         15279282 ns     15276500 ns           46
IsingZZ<float>/AVX2/22                        108027860 ns    108026101 ns            6
IsingZZ<float>/AVX2/24                        500947472 ns    500892570 ns            1
T<float>/AVX2/6                                    4772 ns         4772 ns       146805
T<float>/AVX2/8                                    6305 ns         6304 ns       112514
T<float>/AVX2/10                                  12166 ns        12165 ns        57266
T<float>/AVX2/12                                  34993 ns        34991 ns        20137
T<float>/AVX2/14                                 206336 ns       206321 ns         3413
T<float>/AVX2/16                                 783684 ns       783680 ns          987
T<float>/AVX2/18                                2598225 ns      2597979 ns          254
T<float>/AVX2/20                               11529585 ns     11527799 ns           62
T<float>/AVX2/22                               88151289 ns     88129331 ns            7
T<float>/AVX2/24                              367855263 ns    367814824 ns            2
CNOT<float>/AVX2/6                                 4472 ns         4471 ns       155735
CNOT<float>/AVX2/8                                 5752 ns         5752 ns       125251
CNOT<float>/AVX2/10                                9652 ns         9651 ns        70089
CNOT<float>/AVX2/12                               25915 ns        25912 ns        26345
CNOT<float>/AVX2/14                               91579 ns        91571 ns         8245
CNOT<float>/AVX2/16                              332259 ns       332208 ns         2150
CNOT<float>/AVX2/18                             2080703 ns      2080383 ns          381
CNOT<float>/AVX2/20                             9201420 ns      9200287 ns           69
CNOT<float>/AVX2/22                            78293050 ns     78279200 ns            8
CNOT<float>/AVX2/24                           364962803 ns    364906232 ns            2
CZ<float>/AVX2/6                                   4831 ns         4831 ns       144946
CZ<float>/AVX2/8                                   5781 ns         5781 ns       119176
CZ<float>/AVX2/10                                  9891 ns         9890 ns        68918
CZ<float>/AVX2/12                                 23825 ns        23824 ns        29632
CZ<float>/AVX2/14                                 82249 ns        82243 ns         8873
CZ<float>/AVX2/16                                326962 ns       326917 ns         2170
CZ<float>/AVX2/18                               1797162 ns      1796919 ns          459
CZ<float>/AVX2/20                               8119902 ns      8119100 ns           91
CZ<float>/AVX2/22                              70388018 ns     70384414 ns           10
CZ<float>/AVX2/24                             320239854 ns    320224568 ns            2
PauliX<float>/AVX2/6                               4505 ns         4505 ns       154736
PauliX<float>/AVX2/8                               5610 ns         5610 ns       123847
PauliX<float>/AVX2/10                             11021 ns        11019 ns        63803
PauliX<float>/AVX2/12                             33226 ns        33226 ns        21524
PauliX<float>/AVX2/14                            114922 ns       114916 ns         6109
PauliX<float>/AVX2/16                            461966 ns       461894 ns         1543
PauliX<float>/AVX2/18                           3191684 ns      3191407 ns          216
PauliX<float>/AVX2/20                          13747975 ns     13747622 ns           49
PauliX<float>/AVX2/22                         102284933 ns    102274930 ns            7
PauliX<float>/AVX2/24                         473502723 ns    473460863 ns            2
PauliY<float>/AVX2/6                               5042 ns         5042 ns       100000
PauliY<float>/AVX2/8                               6856 ns         6856 ns       103291
PauliY<float>/AVX2/10                             13526 ns        13524 ns        53630
PauliY<float>/AVX2/12                             39375 ns        39373 ns        17128
PauliY<float>/AVX2/14                            137903 ns       137879 ns         4759
PauliY<float>/AVX2/16                            854908 ns       854833 ns          861
PauliY<float>/AVX2/18                           3330993 ns      3330516 ns          210
PauliY<float>/AVX2/20                          14235448 ns     14231965 ns           47
PauliY<float>/AVX2/22                         108279079 ns    108246089 ns            7
