```
$ docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-02T06:59:47+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.00, 0.63, 0.57
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Rot<float>/AVX512/8                               19666 ns        19665 ns        35318
Rot<float>/AVX512/10                              28647 ns        28642 ns        24449
Rot<float>/AVX512/12                              66859 ns        66847 ns        10390
Rot<float>/AVX512/14                             215055 ns       215050 ns         3271
Rot<float>/AVX512/16                             811513 ns       811304 ns          858
Rot<float>/AVX512/18                            4311040 ns      4310015 ns          162
Rot<float>/AVX512/20                           18520998 ns     18519704 ns           37
Rot<float>/AVX512/22                          125336152 ns    125326584 ns            6
Rot<float>/AVX512/24                          552404005 ns    552405881 ns            1
RX<float>/AVX512/6                                 4849 ns         4849 ns       144168
RX<float>/AVX512/8                                 9305 ns         9305 ns        75714
RX<float>/AVX512/10                               14169 ns        14167 ns        49526
RX<float>/AVX512/12                               35311 ns        35308 ns        19996
RX<float>/AVX512/14                              144735 ns       144713 ns         4768
RX<float>/AVX512/16                              569104 ns       569105 ns         1230
RX<float>/AVX512/18                             4004260 ns      4003801 ns          173
RX<float>/AVX512/20                            17378561 ns     17376417 ns           40
RX<float>/AVX512/22                           114999626 ns    114984513 ns            6
RX<float>/AVX512/24                           530455805 ns    530377210 ns            1
RY<float>/AVX512/6                                 4809 ns         4809 ns       145645
RY<float>/AVX512/8                                 9047 ns         9046 ns        77642
RY<float>/AVX512/10                               13159 ns        13158 ns        53848
RY<float>/AVX512/12                               31718 ns        31716 ns        21930
RY<float>/AVX512/14                              145282 ns       145256 ns         4846
RY<float>/AVX512/16                              568428 ns       568368 ns         1231
RY<float>/AVX512/18                             4076414 ns      4075650 ns          174
RY<float>/AVX512/20                            17660871 ns     17657567 ns           40
RY<float>/AVX512/22                           121497590 ns    121484400 ns            6
RY<float>/AVX512/24                           541259093 ns    541260770 ns            1
CZ<float>/AVX512/6                                 4544 ns         4543 ns       153779
CZ<float>/AVX512/8                                 5088 ns         5087 ns       139064
CZ<float>/AVX512/10                               10771 ns        10771 ns        63919
CZ<float>/AVX512/12                               22451 ns        22449 ns        31185
CZ<float>/AVX512/14                               68469 ns        68464 ns        10624
