```
$ ./benchmark_all.sh 
2023-01-01T19:40:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 2.37, 1.92, 1.59
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PhaseShift<float>/AVX512/8                         8417 ns         8416 ns        82116
PhaseShift<float>/AVX512/10                       13658 ns        13657 ns        52076
PhaseShift<float>/AVX512/12                       31863 ns        31857 ns        21871
PhaseShift<float>/AVX512/14                      116423 ns       116403 ns         6029
PhaseShift<float>/AVX512/16                      432955 ns       432872 ns         1611
PhaseShift<float>/AVX512/18                     2423694 ns      2423483 ns          272
PhaseShift<float>/AVX512/20                    12204467 ns     12202617 ns           62
PhaseShift<float>/AVX512/22                    81734138 ns     81568686 ns            8
PhaseShift<float>/AVX512/24                   355356202 ns    355233260 ns            2
Hadamard<float>/AVX512/6                           3486 ns         3486 ns       202355
Hadamard<float>/AVX512/8                           7033 ns         7033 ns        99396
Hadamard<float>/AVX512/10                         13100 ns        13097 ns        52760
Hadamard<float>/AVX512/12                         48857 ns        48851 ns        18430
Hadamard<float>/AVX512/14                        155349 ns       155348 ns         4324
Hadamard<float>/AVX512/16                        858722 ns       858528 ns          984
Hadamard<float>/AVX512/18                       5611101 ns      5610254 ns          162
Hadamard<float>/AVX512/20                      20125573 ns     20124559 ns           38
Hadamard<float>/AVX512/22                     115334873 ns    115333909 ns            6
Hadamard<float>/AVX512/24                     529616997 ns    529548627 ns            1
SingleQubitOp<float>/AVX512/6/1                    4931 ns         4930 ns       143038
SingleQubitOp<float>/AVX512/8/1                    7459 ns         7458 ns        94425
SingleQubitOp<float>/AVX512/10/1                  18044 ns        18042 ns        39227
SingleQubitOp<float>/AVX512/12/1                  59268 ns        59262 ns        11563
SingleQubitOp<float>/AVX512/14/1                 219353 ns       219338 ns         3213
SingleQubitOp<float>/AVX512/16/1                 883858 ns       883859 ns          830
SingleQubitOp<float>/AVX512/18/1                4620275 ns      4620016 ns          151
SingleQubitOp<float>/AVX512/20/1               19669112 ns     19668114 ns           35
SingleQubitOp<float>/AVX512/22/1              120302926 ns    120303205 ns            6
SingleQubitOp<float>/AVX512/24/1              544440813 ns    544352577 ns            1
GeneratorRZ<float>/AVX2/6                          3664 ns         3664 ns       192426
GeneratorRZ<float>/AVX2/8                          4960 ns         4960 ns       141140
GeneratorRZ<float>/AVX2/10                        10703 ns        10702 ns        65698
GeneratorRZ<float>/AVX2/12                        34449 ns        34447 ns        20292
GeneratorRZ<float>/AVX2/14                       203422 ns       203412 ns         5226
GeneratorRZ<float>/AVX2/16                       701482 ns       701429 ns          926
GeneratorRZ<float>/AVX2/18                      2903499 ns      2903301 ns          209
GeneratorRZ<float>/AVX2/20                     12293240 ns     12291555 ns           51
GeneratorRZ<float>/AVX2/22                     96027136 ns     96022507 ns            8
GeneratorRZ<float>/AVX2/24                    392611309 ns    392577429 ns            2
GeneratorRY<float>/AVX2/6                          3619 ns         3619 ns       191238
GeneratorRY<float>/AVX2/8                          5440 ns         5440 ns       131089
GeneratorRY<float>/AVX2/10                        12404 ns        12404 ns        56920
GeneratorRY<float>/AVX2/12                        55835 ns        55835 ns        10000
GeneratorRY<float>/AVX2/14                       225381 ns       225368 ns         2973
GeneratorRY<float>/AVX2/16                       962059 ns       961988 ns          746
GeneratorRY<float>/AVX2/18                      4597904 ns      4597642 ns          153
