```
$ ./bin/bench_kernels 
2023-01-11T22:19:47+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 5.90, 5.86, 5.84
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
IsingZZ<float>/AVX512/18                        3982302 ns      3982161 ns          178
IsingZZ<float>/AVX512/20                       16948077 ns     16945334 ns           41
IsingZZ<float>/AVX512/22                      110682297 ns    110674668 ns            6
IsingZZ<float>/AVX512/24                      510254698 ns    510161680 ns            1
IsingXX<float>/AVX512/6                            4223 ns         4223 ns       164602
IsingXX<float>/AVX512/8                            8195 ns         8195 ns        84949
IsingXX<float>/AVX512/10                          12887 ns        12885 ns        53033
IsingXX<float>/AVX512/12                          33353 ns        33352 ns        21308
IsingXX<float>/AVX512/14                         141423 ns       141416 ns         4532
IsingXX<float>/AVX512/16                         552071 ns       552013 ns         1267
IsingXX<float>/AVX512/18                        3971996 ns      3971780 ns          178
IsingXX<float>/AVX512/20                       17243573 ns     17242088 ns           41
IsingXX<float>/AVX512/22                      111352323 ns    111321516 ns            6
IsingXX<float>/AVX512/24                      520111110 ns    519961217 ns            1
PhaseShift<float>/AVX512/6                         4643 ns         4643 ns       151718
PhaseShift<float>/AVX512/8                         8906 ns         8905 ns        80619
PhaseShift<float>/AVX512/10                       13099 ns        13098 ns        54493
PhaseShift<float>/AVX512/12                       31912 ns        31909 ns        22249
PhaseShift<float>/AVX512/14                      114435 ns       114431 ns         6582
PhaseShift<float>/AVX512/16                      423056 ns       423001 ns         1701
PhaseShift<float>/AVX512/18                     2582894 ns      2582601 ns          294
PhaseShift<float>/AVX512/20                    11214253 ns     11213359 ns           78
PhaseShift<float>/AVX512/22                    83146486 ns     83130689 ns            9
PhaseShift<float>/AVX512/24                   375486419 ns    375436402 ns            2
SingleQubitOp<float>/AVX512/6/1                    6109 ns         6109 ns       119746
SingleQubitOp<float>/AVX512/8/1                    7890 ns         7889 ns        89968
SingleQubitOp<float>/AVX512/10/1                  16498 ns        16497 ns        41569
SingleQubitOp<float>/AVX512/12/1                  52725 ns        52725 ns        13460
SingleQubitOp<float>/AVX512/14/1                 197998 ns       197978 ns         3500
SingleQubitOp<float>/AVX512/16/1                 770359 ns       770229 ns          914
SingleQubitOp<float>/AVX512/18/1                4308962 ns      4308300 ns          166
SingleQubitOp<float>/AVX512/20/1               17865876 ns     17864554 ns           39
SingleQubitOp<float>/AVX512/22/1              117446311 ns    117438403 ns            6
SingleQubitOp<float>/AVX512/24/1              531349141 ns    531319025 ns            1
GeneratorRZ<float>/AVX2/6                          3959 ns         3958 ns       180384
GeneratorRZ<float>/AVX2/8                          4910 ns         4910 ns       141277
GeneratorRZ<float>/AVX2/10                         8457 ns         8457 ns        80589
GeneratorRZ<float>/AVX2/12                        23120 ns        23118 ns        29234
GeneratorRZ<float>/AVX2/14                        86539 ns        86533 ns         8345
GeneratorRZ<float>/AVX2/16                       335147 ns       335114 ns         2097
GeneratorRZ<float>/AVX2/18                      2223699 ns      2223501 ns          331
GeneratorRZ<float>/AVX2/20                      9781835 ns      9779188 ns           72
GeneratorRZ<float>/AVX2/22                     83144600 ns     83132234 ns            8
GeneratorRZ<float>/AVX2/24                    362975977 ns    362914288 ns            2
GeneratorRY<float>/AVX2/6                          3904 ns         3903 ns       177140
GeneratorRY<float>/AVX2/8                          5276 ns         5275 ns       131929
GeneratorRY<float>/AVX2/10                        10047 ns        10046 ns        68283
GeneratorRY<float>/AVX2/12                        29521 ns        29510 ns        23489
GeneratorRY<float>/AVX2/14                       112368 ns       112362 ns         6069
GeneratorRY<float>/AVX2/16                       447820 ns       447793 ns         1581
GeneratorRY<float>/AVX2/18                      3194981 ns      3194760 ns          219
GeneratorRY<float>/AVX2/20                     14080990 ns     14080315 ns           50
GeneratorRY<float>/AVX2/22                    109716436 ns    109697262 ns            7
GeneratorRY<float>/AVX2/24                    494825984 ns    494796377 ns            2
GeneratorRX<float>/AVX2/6                          3634 ns         3633 ns       192798
GeneratorRX<float>/AVX2/8                          5008 ns         5007 ns       138078
GeneratorRX<float>/AVX2/10                        10323 ns        10322 ns        68310
GeneratorRX<float>/AVX2/12                        32419 ns        32417 ns        21490
GeneratorRX<float>/AVX2/14                       116278 ns       116272 ns         5975
GeneratorRX<float>/AVX2/16                       464525 ns       464500 ns         1533
GeneratorRX<float>/AVX2/18                      3114749 ns      3114445 ns          223
GeneratorRX<float>/AVX2/20                     13738957 ns     13737643 ns           51
GeneratorRX<float>/AVX2/22                    105505717 ns    105483462 ns            7
GeneratorRX<float>/AVX2/24                    488966716 ns    488814440 ns            2
PauliZ<float>/AVX2/6                               4075 ns         4075 ns       173162
PauliZ<float>/AVX2/8                               5073 ns         5072 ns       137591
PauliZ<float>/AVX2/10                              8855 ns         8855 ns        81397
PauliZ<float>/AVX2/12                             23716 ns        23714 ns        28846
PauliZ<float>/AVX2/14                            103224 ns       103224 ns         5258
PauliZ<float>/AVX2/16                            333192 ns       333180 ns         2106
PauliZ<float>/AVX2/18                           2070942 ns      2070721 ns          324
PauliZ<float>/AVX2/20                           9999748 ns      9999190 ns           71
PauliZ<float>/AVX2/22                          82499944 ns     82482390 ns            8
PauliZ<float>/AVX2/24                         373921362 ns    373878859 ns            2
PauliY<float>/AVX2/6                               4270 ns         4270 ns       163952
PauliY<float>/AVX2/8                               5578 ns         5578 ns       127481
PauliY<float>/AVX2/10                             10450 ns        10450 ns        67612
PauliY<float>/AVX2/12                             30698 ns        30698 ns        22765
PauliY<float>/AVX2/14                            110642 ns       110634 ns         6112
PauliY<float>/AVX2/16                            449895 ns       449879 ns         1558
PauliY<float>/AVX2/18                           3228587 ns      3228204 ns          217
PauliY<float>/AVX2/20                          14018198 ns     14015763 ns           50
PauliY<float>/AVX2/22                         105052676 ns    105030898 ns            7
PauliY<float>/AVX2/24                         495296222 ns    495237996 ns            2
PauliX<float>/AVX2/6                               3801 ns         3801 ns       183719
PauliX<float>/AVX2/8                               4856 ns         4856 ns       143893
PauliX<float>/AVX2/10                              9006 ns         9004 ns        80112
PauliX<float>/AVX2/12                             25311 ns        25309 ns        27773
PauliX<float>/AVX2/14                             89995 ns        89983 ns         7703
PauliX<float>/AVX2/16                            356555 ns       356540 ns         1981
PauliX<float>/AVX2/18                           3144366 ns      3143892 ns          222
PauliX<float>/AVX2/20                          13509479 ns     13507508 ns           52
PauliX<float>/AVX2/22                         102027066 ns    102009931 ns            7
PauliX<float>/AVX2/24                         499709930 ns    499683625 ns            2
PhaseShift<float>/AVX2/6                           5057 ns         5057 ns       127756
PhaseShift<float>/AVX2/8                           6567 ns         6566 ns       107958
PhaseShift<float>/AVX2/10                         11253 ns        11251 ns        63274
PhaseShift<float>/AVX2/12                         29869 ns        29865 ns        22424
PhaseShift<float>/AVX2/14                        162527 ns       162509 ns         4879
PhaseShift<float>/AVX2/16                        414919 ns       414900 ns         1687
PhaseShift<float>/AVX2/18                       2521591 ns      2521411 ns          315
PhaseShift<float>/AVX2/20                      10176769 ns     10175461 ns           65
PhaseShift<float>/AVX2/22                      84577088 ns     84565907 ns            8
PhaseShift<float>/AVX2/24                     375867509 ns    375726529 ns            2
S<float>/AVX2/6                                    4261 ns         4260 ns       170531
S<float>/AVX2/8                                    5410 ns         5409 ns       131363
S<float>/AVX2/10                                   9567 ns         9566 ns        74772
S<float>/AVX2/12                                  25327 ns        25324 ns        27619
S<float>/AVX2/14                                 146444 ns       146419 ns         4581
S<float>/AVX2/16                                 359445 ns       359421 ns         1946
S<float>/AVX2/18                                2093642 ns      2093514 ns          355
S<float>/AVX2/20                                9705255 ns      9702034 ns           66
S<float>/AVX2/22                               80707763 ns     80695998 ns            9
S<float>/AVX2/24                              382188137 ns    382125471 ns            2
