```
$docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-04T05:22:41+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.62, 0.58, 0.72
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
GeneratorRZ<float>/AVX2/14                       128241 ns       128221 ns         5412
GeneratorRZ<float>/AVX2/16                       483363 ns       483304 ns         1412
GeneratorRZ<float>/AVX2/18                      2599841 ns      2599251 ns          293
GeneratorRZ<float>/AVX2/20                     10452965 ns     10450044 ns           70
GeneratorRZ<float>/AVX2/22                     81860950 ns     81854164 ns            8
GeneratorRZ<float>/AVX2/24                    359383025 ns    359339140 ns            2
GeneratorRY<float>/AVX2/6                          4636 ns         4635 ns       150891
GeneratorRY<float>/AVX2/8                          6041 ns         6041 ns       115060
GeneratorRY<float>/AVX2/10                        11444 ns        11443 ns        62728
GeneratorRY<float>/AVX2/12                        49191 ns        49185 ns        13805
GeneratorRY<float>/AVX2/14                       115530 ns       115521 ns         5073
GeneratorRY<float>/AVX2/16                       455746 ns       455725 ns         1509
GeneratorRY<float>/AVX2/18                      3203495 ns      3203346 ns          220
GeneratorRY<float>/AVX2/20                     13638833 ns     13637563 ns           49
GeneratorRY<float>/AVX2/22                    101334790 ns    101317337 ns            7
GeneratorRY<float>/AVX2/24                    498834198 ns    498318626 ns            2
GeneratorRX<float>/AVX2/6                          4238 ns         4238 ns       164993
GeneratorRX<float>/AVX2/8                          5379 ns         5379 ns       131027
GeneratorRX<float>/AVX2/10                         9771 ns         9771 ns        72599
GeneratorRX<float>/AVX2/12                        27058 ns        27057 ns        25328
GeneratorRX<float>/AVX2/14                        96353 ns        96346 ns         7259
GeneratorRX<float>/AVX2/16                       374648 ns       374598 ns         1863
GeneratorRX<float>/AVX2/18                      3123334 ns      3123064 ns          223
GeneratorRX<float>/AVX2/20                     13368822 ns     13366679 ns           50
GeneratorRX<float>/AVX2/22                    100019173 ns    100008832 ns            7
GeneratorRX<float>/AVX2/24                    476004787 ns    475954686 ns            2
PauliZ<float>/AVX2/6                               4766 ns         4765 ns       148523
PauliZ<float>/AVX2/8                               5783 ns         5782 ns       120605
PauliZ<float>/AVX2/10                              9437 ns         9436 ns        74439
PauliZ<float>/AVX2/12                             23607 ns        23604 ns        29334
PauliZ<float>/AVX2/14                             81616 ns        81613 ns         6890
PauliZ<float>/AVX2/16                            311463 ns       311447 ns         2249
PauliZ<float>/AVX2/18                           1941316 ns      1941299 ns          310
PauliZ<float>/AVX2/20                           9249406 ns      9249238 ns           66
PauliZ<float>/AVX2/22                          82668256 ns     82664706 ns            8
PauliZ<float>/AVX2/24                         382406299 ns    382373460 ns            2
PauliY<float>/AVX2/6                               4995 ns         4995 ns       141247
PauliY<float>/AVX2/8                               6390 ns         6390 ns       107286
PauliY<float>/AVX2/10                             11072 ns        11072 ns        61262
PauliY<float>/AVX2/12                             31789 ns        31788 ns        22214
PauliY<float>/AVX2/14                            115316 ns       115306 ns         6083
PauliY<float>/AVX2/16                            462693 ns       462674 ns         1541
PauliY<float>/AVX2/18                           3235708 ns      3235419 ns          214
PauliY<float>/AVX2/20                          13839115 ns     13836883 ns           49
PauliY<float>/AVX2/22                         106045718 ns    106028124 ns            7
PauliY<float>/AVX2/24                         485664571 ns    484833104 ns            2
PauliX<float>/AVX2/6                               4483 ns         4483 ns       156016
PauliX<float>/AVX2/8                               5662 ns         5661 ns       121228
PauliX<float>/AVX2/10                             10961 ns        10960 ns        64421
PauliX<float>/AVX2/12                             32407 ns        32403 ns        21337
PauliX<float>/AVX2/14                            120375 ns       120371 ns         5964
PauliX<float>/AVX2/16                            474347 ns       474295 ns         1509
PauliX<float>/AVX2/18                           3105527 ns      3105197 ns          224
PauliX<float>/AVX2/20                          13570524 ns     13569607 ns           49
PauliX<float>/AVX2/22                         101828671 ns    101815238 ns            7
PauliX<float>/AVX2/24                         476520000 ns    476462395 ns            2
PhaseShift<float>/AVX2/6                           5655 ns         5654 ns       126572
PhaseShift<float>/AVX2/8                           7169 ns         7168 ns        99802
PhaseShift<float>/AVX2/10                         11528 ns        11528 ns        61867
PhaseShift<float>/AVX2/12                         29714 ns        29712 ns        24030
PhaseShift<float>/AVX2/14                        167069 ns       167031 ns         4170
PhaseShift<float>/AVX2/16                        570029 ns       569988 ns         1147
PhaseShift<float>/AVX2/18                       2499484 ns      2499407 ns          272
PhaseShift<float>/AVX2/20                      10329809 ns     10328120 ns           54
PhaseShift<float>/AVX2/22                      78760605 ns     78607340 ns            8
PhaseShift<float>/AVX2/24                     387385435 ns    387305168 ns            2
S<float>/AVX2/6                                    4805 ns         4804 ns       144826
S<float>/AVX2/8                                    5869 ns         5869 ns       115936
S<float>/AVX2/10                                  10638 ns        10636 ns        66795
S<float>/AVX2/12                                  25739 ns        25737 ns        26418
S<float>/AVX2/14                                  95977 ns        95961 ns         7205
S<float>/AVX2/16                                 332812 ns       332780 ns         2043
S<float>/AVX2/18                                2049311 ns      2049031 ns          361
S<float>/AVX2/20                                9730056 ns      9728829 ns           73
S<float>/AVX2/22                               86635238 ns     86623179 ns            8
S<float>/AVX2/24                              363679518 ns    363631925 ns            2
IsingYY<float>/AVX2/6                              5537 ns         5536 ns       128687
IsingYY<float>/AVX2/8                              7096 ns         7095 ns        99001
IsingYY<float>/AVX2/10                            12813 ns        12812 ns        54944
IsingYY<float>/AVX2/12                            37818 ns        37818 ns        18577
IsingYY<float>/AVX2/14                           155556 ns       155533 ns         4878
IsingYY<float>/AVX2/16                           687968 ns       687867 ns         1111
IsingYY<float>/AVX2/18                          3354416 ns      3354172 ns          205
IsingYY<float>/AVX2/20                         14180823 ns     14178710 ns           47
IsingYY<float>/AVX2/22                        103958284 ns    103952012 ns            6
IsingYY<float>/AVX2/24                        492672235 ns    492564332 ns            2
Hadamard<float>/AVX2/6                             4727 ns         4726 ns       146799
Hadamard<float>/AVX2/8                             7060 ns         7060 ns       102686
Hadamard<float>/AVX2/10                           73470 ns        73465 ns        36674
Hadamard<float>/AVX2/12                           98937 ns        98934 ns         7935
Hadamard<float>/AVX2/14                          553103 ns       553072 ns         4465
Hadamard<float>/AVX2/16                         1368863 ns      1368727 ns          688
Hadamard<float>/AVX2/18                        10978487 ns     10977267 ns          118
Hadamard<float>/AVX2/20                        20162370 ns     20161052 ns           28
Hadamard<float>/AVX2/22                       105330557 ns    105310200 ns            6
