```
$ ./bin/bench_kernels
2023-01-04T06:35:37+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.52, 0.65, 1.03
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
CNOT<float>/AVX512/14                             57599 ns        57570 ns        11402
CNOT<float>/AVX512/16                            232110 ns       232039 ns         3034
CNOT<float>/AVX512/18                           1748138 ns      1747332 ns          387
CNOT<float>/AVX512/20                           8926000 ns      8922754 ns           72
CNOT<float>/AVX512/22                          76209287 ns     76200642 ns            9
CNOT<float>/AVX512/24                         331238289 ns    331173639 ns            2
SWAP<float>/AVX512/6                               3757 ns         3755 ns       185856
SWAP<float>/AVX512/8                               4372 ns         4371 ns       155930
SWAP<float>/AVX512/10                              7442 ns         7439 ns        88782
SWAP<float>/AVX512/12                             17139 ns        17139 ns        38493
SWAP<float>/AVX512/14                             67309 ns        67299 ns        10281
SWAP<float>/AVX512/16                            290003 ns       289885 ns         2622
SWAP<float>/AVX512/18                           2116320 ns      2115657 ns          335
SWAP<float>/AVX512/20                           9805910 ns      9800666 ns           69
SWAP<float>/AVX512/22                          83988212 ns     83949192 ns            8
SWAP<float>/AVX512/24                         410966533 ns    410748282 ns            2
PauliY<float>/AVX512/6                             3704 ns         3703 ns       189328
PauliY<float>/AVX512/8                             4488 ns         4486 ns       155832
PauliY<float>/AVX512/10                           12752 ns        12749 ns        53476
PauliY<float>/AVX512/12                           35223 ns        35210 ns        19329
PauliY<float>/AVX512/14                          143314 ns       143274 ns         4858
PauliY<float>/AVX512/16                          574385 ns       574112 ns         1215
PauliY<float>/AVX512/18                         4023343 ns      4021758 ns          174
PauliY<float>/AVX512/20                        16489275 ns     16481748 ns           40
PauliY<float>/AVX512/22                       112494278 ns    112449664 ns            6
PauliY<float>/AVX512/24                       512471193 ns    512368025 ns            1
CZ<float>/AVX512/6                                 3410 ns         3409 ns       206707
CZ<float>/AVX512/8                                 4016 ns         4016 ns       173489
CZ<float>/AVX512/10                                6233 ns         6231 ns       111273
CZ<float>/AVX512/12                               16507 ns        16502 ns        43994
CZ<float>/AVX512/14                               81705 ns        81673 ns        14653
CZ<float>/AVX512/16                              299606 ns       299483 ns         3845
CZ<float>/AVX512/18                             1496116 ns      1495466 ns          563
CZ<float>/AVX512/20                             7832326 ns      7830011 ns           88
CZ<float>/AVX512/22                            67519311 ns     67490593 ns           11
CZ<float>/AVX512/24                           259992243 ns    259868543 ns            2
PauliX<float>/AVX512/6                             3480 ns         3479 ns       208485
PauliX<float>/AVX512/8                             4019 ns         4016 ns       174800
PauliX<float>/AVX512/10                            6696 ns         6694 ns       101192
PauliX<float>/AVX512/12                           17976 ns        17969 ns        40665
